:START_ID,:END_ID,:TYPE
_skip_modules,mcptoolwrapper,MENTIONS
_skip_modules,sandbox,MENTIONS
agent,agentloop,HAS_SUBCONCEPT
agent,nanobot-sdk-facade,HAS_SUBCONCEPT
agent,session,HAS_SUBCONCEPT
agent,subagent,HAS_SUBCONCEPT
agent,tool,HAS_SUBCONCEPT
agent,agent-loop-concept,MENTIONS
agent,llm,MENTIONS
agent,react,RELATED_TO
agent,tool-calling,RELATED_TO
agent-loop-concept,react,HAS_SUBCONCEPT
agent-loop-concept,tool-calling,HAS_SUBCONCEPT
agent-loop-concept,agentrunner,MENTIONS
agent-skills,skillmd,MENTIONS
agentloop,agentrunner,HAS_SUBCONCEPT
agentloop,hook,HAS_SUBCONCEPT
agentloop,turn,HAS_SUBCONCEPT
agentloop,turnstate,HAS_SUBCONCEPT
agentloop,context,MENTIONS
agentloop,inboundmessage,MENTIONS
agentloop,outboundmessage,MENTIONS
agentloop,session-key,MENTIONS
agentloop,messagebus,RELATED_TO
agentloop,nanobot-sdk-facade,RELATED_TO
agentloop,session,RELATED_TO
agentrunner,injection,HAS_SUBCONCEPT
agentrunner,tool-hint,HAS_SUBCONCEPT
agentrunner,provider,MENTIONS
agentrunner,streaming,MENTIONS
agentrunner,tool,MENTIONS
agentrunner,turn,MENTIONS
agentrunner,tool-calling,RELATED_TO
agentrunner,toolregistry,RELATED_TO
anthropic-provider,reasoning-blocks,MENTIONS
api-server,openai-compatible-api,HAS_SUBCONCEPT
apps,skill,RELATED_TO
apps,tool,RELATED_TO
asyncio,asyncioqueue,HAS_SUBCONCEPT
asyncio,coroutine,HAS_SUBCONCEPT
asyncioqueue,messagebus,MENTIONS
autocompact,consolidation,HAS_SUBCONCEPT
autocompact,context-compression,MENTIONS
autocompact,sliding-window,MENTIONS
autocompact,consolidation,RELATED_TO
automation-turns,cron-turns,RELATED_TO
automation-turns,history-visibility,RELATED_TO
bootstrap-templates,workspace,MENTIONS
bound-runner,session-delivery,HAS_SUBCONCEPT
bubblewrap,linux-namespaces,MENTIONS
bubblewrap,workspace,MENTIONS
bubblewrap,least-privilege,RELATED_TO
bun,webui,MENTIONS
bun,vite,RELATED_TO
channel,channel-manager,HAS_SUBCONCEPT
channel,platform-channels,HAS_SUBCONCEPT
channel,websocket-channel,HAS_SUBCONCEPT
channel,inboundmessage,MENTIONS
channel,outboundmessage,MENTIONS
channel,tool-discovery,MENTIONS
channel,gateway,RELATED_TO
channel,pairing,RELATED_TO
channel-manager,channel-registry,HAS_SUBCONCEPT
channel-manager,entry-point-plugin,MENTIONS
channel-manager,pkgutil,MENTIONS
circuit-breaker,exponential-backoff,RELATED_TO
circuit-breaker,retry,RELATED_TO
command-router,slash-command,HAS_SUBCONCEPT
config,model-preset,HAS_SUBCONCEPT
config,camelcase-alias,MENTIONS
config,pydantic,RELATED_TO
config,workspace,RELATED_TO
consolidation,last_consolidated-cursor,HAS_SUBCONCEPT
consolidation,llm,MENTIONS
consolidation,summarization,MENTIONS
consolidation,dream,RELATED_TO
container,linux-namespaces,MENTIONS
container,sandbox,RELATED_TO
context,context-governance,HAS_SUBCONCEPT
context,runtime-context,HAS_SUBCONCEPT
context,system-prompt,HAS_SUBCONCEPT
context,llm,MENTIONS
context,memory,MENTIONS
context,skill,MENTIONS
context,context-window,RELATED_TO
context-compression,sliding-window,HAS_SUBCONCEPT
context-compression,summarization,HAS_SUBCONCEPT
